x0,x1,func_val
8.118330001831054688e+00,9.856156349182128906e+00,-1.878595924377441406e+01
7.990005016326904297e+00,9.453018188476562500e+00,-1.873074340820312500e+01
8.118517875671386719e+00,9.855459213256835938e+00,-1.878852081298828125e+01
7.989817619323730469e+00,9.453834533691406250e+00,-1.873378181457519531e+01
8.118684768676757812e+00,9.854831695556640625e+00,-1.879082298278808594e+01
7.989651203155517578e+00,9.454569816589355469e+00,-1.873650741577148438e+01
8.118832588195800781e+00,9.854265213012695312e+00,-1.879289817810058594e+01
7.989503860473632812e+00,9.455233573913574219e+00,-1.873896789550781250e+01
8.118963241577148438e+00,9.853753089904785156e+00,-1.879476356506347656e+01
7.989373683929443359e+00,9.455833435058593750e+00,-1.874119377136230469e+01
8.119078636169433594e+00,9.853289604187011719e+00,-1.879646301269531250e+01
7.989258289337158203e+00,9.456376075744628906e+00,-1.874319267272949219e+01
8.119181632995605469e+00,9.852870941162109375e+00,-1.879798889160156250e+01
7.989155292510986328e+00,9.456865310668945312e+00,-1.874499511718750000e+01
8.119273185729980469e+00,9.852492332458496094e+00,-1.879936027526855469e+01
7.989063739776611328e+00,9.457308769226074219e+00,-1.874662780761718750e+01
8.119355201721191406e+00,9.852149009704589844e+00,-1.880060958862304688e+01
7.988981723785400391e+00,9.457710266113281250e+00,-1.874810791015625000e+01
8.119427680969238281e+00,9.851838111877441406e+00,-1.880174446105957031e+01
7.988909244537353516e+00,9.458073616027832031e+00,-1.874944496154785156e+01
8.119492530822753906e+00,9.851556777954101562e+00,-1.880276870727539062e+01
7.988844394683837891e+00,9.458402633666992188e+00,-1.875065612792968750e+01
8.119549751281738281e+00,9.851301193237304688e+00,-1.880369377136230469e+01
7.988787174224853516e+00,9.458701133728027344e+00,-1.875175094604492188e+01
8.119601249694824219e+00,9.851070404052734375e+00,-1.880453300476074219e+01
7.988735675811767578e+00,9.458971023559570312e+00,-1.875273323059082031e+01
8.119647026062011719e+00,9.850860595703125000e+00,-1.880528831481933594e+01
7.988689422607421875e+00,9.459216117858886719e+00,-1.875363731384277344e+01
8.119688034057617188e+00,9.850669860839843750e+00,-1.880598068237304688e+01
7.988648414611816406e+00,9.459439277648925781e+00,-1.875445556640625000e+01
8.119725227355957031e+00,9.850497245788574219e+00,-1.880660820007324219e+01
7.988611221313476562e+00,9.459640502929687500e+00,-1.875519561767578125e+01
8.119757652282714844e+00,9.850340843200683594e+00,-1.880718421936035156e+01
7.988578796386718750e+00,9.459822654724121094e+00,-1.875586700439453125e+01
8.119787216186523438e+00,9.850198745727539062e+00,-1.880770492553710938e+01
7.988548755645751953e+00,9.459988594055175781e+00,-1.875646781921386719e+01
8.119813919067382812e+00,9.850069999694824219e+00,-1.880816459655761719e+01
7.988522052764892578e+00,9.460139274597167969e+00,-1.875702476501464844e+01
8.119837760925292969e+00,9.849952697753906250e+00,-1.880859375000000000e+01
7.988498210906982422e+00,9.460276603698730469e+00,-1.875753211975097656e+01
8.119858741760253906e+00,9.849845886230468750e+00,-1.880897331237792969e+01
7.988477230072021484e+00,9.460401535034179688e+00,-1.875799369812011719e+01
8.119877815246582031e+00,9.849748611450195312e+00,-1.880933570861816406e+01
7.988458156585693359e+00,9.460515022277832031e+00,-1.875840568542480469e+01
8.119894981384277344e+00,9.849660873413085938e+00,-1.880965232849121094e+01
7.988440513610839844e+00,9.460617065429687500e+00,-1.875877761840820312e+01
8.119910240173339844e+00,9.849580764770507812e+00,-1.880994224548339844e+01
7.988425254821777344e+00,9.460710525512695312e+00,-1.875911712646484375e+01
8.119924545288085938e+00,9.849508285522460938e+00,-1.881020927429199219e+01
7.988410949707031250e+00,9.460795402526855469e+00,-1.875943374633789062e+01
8.119936943054199219e+00,9.849442481994628906e+00,-1.881043624877929688e+01
7.988398551940917969e+00,9.460872650146484375e+00,-1.875971603393554688e+01
8.119948387145996094e+00,9.849382400512695312e+00,-1.881066513061523438e+01
7.988387107849121094e+00,9.460942268371582031e+00,-1.875997352600097656e+01
8.119957923889160156e+00,9.849328041076660156e+00,-1.881086158752441406e+01
7.988377571105957031e+00,9.461005210876464844e+00,-1.876020240783691406e+01
8.119966506958007812e+00,9.849279403686523438e+00,-1.881104469299316406e+01
7.988368988037109375e+00,9.461062431335449219e+00,-1.876041221618652344e+01
8.119974136352539062e+00,9.849234580993652344e+00,-1.881120491027832031e+01
7.988360881805419922e+00,9.461114883422851562e+00,-1.876060867309570312e+01
8.119981765747070312e+00,9.849193572998046875e+00,-1.881135559082031250e+01
7.988353252410888672e+00,9.461162567138671875e+00,-1.876078224182128906e+01
8.119988441467285156e+00,9.849156379699707031e+00,-1.881149101257324219e+01
7.988346576690673828e+00,9.461205482482910156e+00,-1.876093864440917969e+01
8.119994163513183594e+00,9.849123001098632812e+00,-1.881161308288574219e+01
7.988340854644775391e+00,9.461244583129882812e+00,-1.876108551025390625e+01
8.119999885559082031e+00,9.849092483520507812e+00,-1.881172561645507812e+01
7.988335132598876953e+00,9.461280822753906250e+00,-1.876122093200683594e+01
8.120004653930664062e+00,9.849064826965332031e+00,-1.881181907653808594e+01
7.988330364227294922e+00,9.461312294006347656e+00,-1.876133728027343750e+01
8.120008468627929688e+00,9.849040031433105469e+00,-1.881191253662109375e+01
7.988326549530029297e+00,9.461341857910156250e+00,-1.876143836975097656e+01
8.120012283325195312e+00,9.849017143249511719e+00,-1.881199836730957031e+01
7.988322734832763672e+00,9.461368560791015625e+00,-1.876154518127441406e+01
8.120016098022460938e+00,9.848996162414550781e+00,-1.881206512451171875e+01
7.988318920135498047e+00,9.461393356323242188e+00,-1.876163291931152344e+01
8.120018959045410156e+00,9.848977088928222656e+00,-1.881214141845703125e+01
7.988316059112548828e+00,9.461415290832519531e+00,-1.876171875000000000e+01
8.120021820068359375e+00,9.848959922790527344e+00,-1.881220245361328125e+01
7.988313198089599609e+00,9.461435317993164062e+00,-1.876178550720214844e+01
8.120024681091308594e+00,9.848943710327148438e+00,-1.881225967407226562e+01
7.988310337066650391e+00,9.461454391479492188e+00,-1.876185417175292969e+01
8.120026588439941406e+00,9.848929405212402344e+00,-1.881231880187988281e+01
7.988308429718017578e+00,9.461470603942871094e+00,-1.876191329956054688e+01
8.120028495788574219e+00,9.848916053771972656e+00,-1.881237030029296875e+01
7.988306522369384766e+00,9.461485862731933594e+00,-1.876197624206542969e+01
8.120030403137207031e+00,9.848904609680175781e+00,-1.881241035461425781e+01
7.988304138183593750e+00,9.461499214172363281e+00,-1.876202774047851562e+01
8.120032310485839844e+00,9.848894119262695312e+00,-1.881244850158691406e+01
7.988302707672119141e+00,9.461511611938476562e+00,-1.876206970214843750e+01
8.120034217834472656e+00,9.848884582519531250e+00,-1.881248092651367188e+01
7.988300800323486328e+00,9.461523056030273438e+00,-1.876210784912109375e+01
8.120035171508789062e+00,9.848875999450683594e+00,-1.881251525878906250e+01
7.988299369812011719e+00,9.461532592773437500e+00,-1.876214408874511719e+01
8.120037078857421875e+00,9.848868370056152344e+00,-1.881254196166992188e+01
7.988297462463378906e+00,9.461542129516601562e+00,-1.876218032836914062e+01
8.120038032531738281e+00,9.848860740661621094e+00,-1.881257438659667969e+01
7.988296508789062500e+00,9.461550712585449219e+00,-1.876221656799316406e+01
8.120038986206054688e+00,9.848854064941406250e+00,-1.881259918212890625e+01
7.988295555114746094e+00,9.461558341979980469e+00,-1.876224136352539062e+01
8.120039939880371094e+00,9.848848342895507812e+00,-1.881261825561523438e+01
7.988294601440429688e+00,9.461565017700195312e+00,-1.876226425170898438e+01
8.120040893554687500e+00,9.848842620849609375e+00,-1.881263351440429688e+01
7.988293647766113281e+00,9.461571693420410156e+00,-1.876228904724121094e+01
