x0,x1,func_val
9.362412691116333008e-01,1.075108051300048828e+00,1.139027625322341919e-01
9.545350670814514160e-01,7.811561822891235352e-01,3.948546946048736572e-01
9.360620379447937012e-01,9.917781949043273926e-01,2.095413859933614731e-03
9.546849131584167480e-01,1.014087438583374023e+00,4.254226107150316238e-03
9.358838200569152832e-01,9.718344807624816895e-01,1.274032052606344223e-02
9.548333883285522461e-01,1.041615486145019531e+00,3.235411643981933594e-02
9.357067346572875977e-01,9.006794691085815430e-01,1.180235669016838074e-01
9.549803733825683594e-01,1.076554179191589355e+00,1.187985911965370178e-01
9.355309605598449707e-01,7.750878334045410156e-01,4.095864593982696533e-01
9.551256299018859863e-01,9.845881462097167969e-01,4.667081870138645172e-03
9.353569149971008301e-01,1.025064229965209961e+00,1.202924922108650208e-02
9.552689790725708008e-01,9.461358189582824707e-01,4.053897038102149963e-02
9.351846575736999512e-01,1.064591288566589355e+00,8.217000216245651245e-02
9.554103016853332520e-01,8.229380846023559570e-01,2.941780090332031250e-01
9.350144267082214355e-01,1.035342216491699219e+00,2.348665706813335419e-02
9.555494785308837891e-01,9.188944101333618164e-01,8.353058993816375732e-02
9.348464608192443848e-01,1.075684547424316406e+00,1.161483749747276306e-01
9.556862115859985352e-01,7.787466049194335938e-01,4.008742570877075195e-01
9.346809983253479004e-01,9.889459609985351562e-01,3.243503626435995102e-03
9.558204412460327148e-01,1.018557667732238770e+00,7.025886792689561844e-03
9.345182180404663086e-01,9.617792963981628418e-01,2.222541160881519318e-02
9.559520483016967773e-01,1.052182316780090332e+00,5.214759334921836853e-02
9.343582391738891602e-01,8.671414852142333984e-01,1.903034597635269165e-01
9.560808539390563965e-01,1.066634178161621094e+00,8.792454004287719727e-02
9.342013001441955566e-01,8.151398301124572754e-01,3.133946955204010010e-01
9.562067985534667969e-01,1.028097867965698242e+00,1.503615081310272217e-02
9.340475797653198242e-01,9.384232163429260254e-01,5.189822241663932800e-02
9.563297629356384277e-01,1.069022178649902344e+00,9.497007727622985840e-02
9.338971376419067383e-01,8.058317899703979492e-01,3.360069692134857178e-01
9.564496874809265137e-01,1.018880128860473633e+00,7.393210660666227341e-03
9.337501525878906250e-01,9.610323905944824219e-01,2.319199033081531525e-02
9.565665125846862793e-01,1.052883863449096680e+00,5.379047617316246033e-02
9.336066842079162598e-01,8.647840023040771484e-01,1.958548277616500854e-01
9.566800594329833984e-01,1.065442085266113281e+00,8.471028506755828857e-02
9.334669709205627441e-01,8.197087049484252930e-01,3.025335669517517090e-01
9.567903280258178711e-01,1.032397270202636719e+00,1.994981616735458374e-02
9.333310127258300781e-01,9.270246624946594238e-01,7.006443291902542114e-02
9.568973779678344727e-01,1.073672890663146973e+00,1.096424832940101624e-01
9.331988096237182617e-01,7.871001958847045898e-01,3.814167380332946777e-01
9.570010900497436523e-01,9.986317157745361328e-01,1.533968723379075527e-03
9.330704808235168457e-01,1.002461194992065430e+00,1.863309298641979694e-03
9.571014642715454102e-01,9.954533576965332031e-01,1.857828581705689430e-03
9.329460859298706055e-01,1.007996916770935059e+00,2.847836585715413094e-03
9.571984410285949707e-01,9.846548438072204590e-01,5.156163126230239868e-03
9.328256845474243164e-01,1.024968028068542480e+00,1.258165854960680008e-02
9.572920799255371094e-01,9.463760852813720703e-01,4.072938859462738037e-02
9.327092766761779785e-01,1.064435958862304688e+00,8.237579464912414551e-02
9.573823809623718262e-01,8.235249519348144531e-01,2.932677865028381348e-01
9.325968623161315918e-01,1.035868883132934570e+00,2.481355704367160797e-02
9.574693441390991211e-01,9.174123406410217285e-01,8.668408542871475220e-02
9.324883818626403809e-01,1.075939297676086426e+00,1.176252067089080811e-01
9.575530886650085449e-01,7.776777148246765137e-01,4.039160013198852539e-01
9.323838353157043457e-01,9.876799583435058594e-01,4.298268351703882217e-03
9.576335549354553223e-01,1.020493984222412109e+00,8.826646953821182251e-03
9.322832226753234863e-01,9.572501778602600098e-01,2.769684419035911560e-02
9.577108621597290039e-01,1.056264877319335938e+00,6.161910295486450195e-02
9.321864247322082520e-01,8.531877994537353516e-01,2.230266332626342773e-01
9.577850103378295898e-01,1.058736205101013184e+00,6.750039756298065186e-02
9.320935010910034180e-01,8.444633483886718750e-01,2.435772269964218140e-01
9.578560590744018555e-01,1.052819013595581055e+00,5.400954186916351318e-02
9.320042729377746582e-01,8.650026321411132812e-01,1.958025395870208740e-01
9.579241275787353516e-01,1.065555095672607422e+00,8.537407964468002319e-02
9.319187402725219727e-01,8.192777633666992188e-01,3.040097355842590332e-01
9.579892754554748535e-01,1.031998276710510254e+00,1.981335319578647614e-02
9.318368434906005859e-01,9.281058907508850098e-01,6.869405508041381836e-02
9.580515027046203613e-01,1.073325276374816895e+00,1.088418141007423401e-01
9.317584633827209473e-01,7.885281443595886230e-01,3.783932328224182129e-01
9.581109285354614258e-01,1.000249028205871582e+00,1.822653808631002903e-03
9.316835403442382812e-01,9.995470046997070312e-01,2.167072612792253494e-03
9.581676721572875977e-01,1.000820040702819824e+00,1.849531545303761959e-03
9.316119551658630371e-01,9.985022544860839844e-01,2.221121219918131828e-03
